file,class_id,class
2008_000021,1,aeroplane
2008_000033,1,aeroplane
2008_000037,1,aeroplane
2008_000064,1,aeroplane
2008_000151,1,aeroplane
2008_000197,1,aeroplane
2008_000291,1,aeroplane
2008_000585,1,aeroplane
2008_000716,1,aeroplane
2008_000756,1,aeroplane
2008_000804,1,aeroplane
2008_000805,1,aeroplane
2008_000883,1,aeroplane
2008_001380,1,aeroplane
2008_001448,1,aeroplane
2008_001468,1,aeroplane
2008_001546,1,aeroplane
2008_001719,1,aeroplane
2008_001774,1,aeroplane
2008_001801,1,aeroplane
2008_001805,1,aeroplane
2008_001971,1,aeroplane
2008_001985,1,aeroplane
2008_002000,1,aeroplane
2008_002151,1,aeroplane
2008_002195,1,aeroplane
2008_002221,1,aeroplane
2008_002358,1,aeroplane
2008_002454,1,aeroplane
2008_002551,1,aeroplane
2008_002673,1,aeroplane
2008_002698,1,aeroplane
2008_002719,1,aeroplane
2008_003033,1,aeroplane
2008_003041,1,aeroplane
2008_003059,1,aeroplane
2008_003155,1,aeroplane
2008_003189,1,aeroplane
2008_003196,1,aeroplane
2008_003369,1,aeroplane
2008_003423,1,aeroplane
2008_003475,1,aeroplane
2008_003575,1,aeroplane
2008_003655,1,aeroplane
2008_003688,1,aeroplane
2008_003703,1,aeroplane
2008_003729,1,aeroplane
2008_003743,1,aeroplane
2008_003744,1,aeroplane
2008_003788,1,aeroplane
2008_003876,1,aeroplane
2008_003905,1,aeroplane
2008_003926,1,aeroplane
2008_003976,1,aeroplane
2008_004000,1,aeroplane
2008_004030,1,aeroplane
2008_004138,1,aeroplane
2008_004165,1,aeroplane
2008_004190,1,aeroplane
2008_004239,1,aeroplane
2008_004348,1,aeroplane
2008_004378,1,aeroplane
2008_004406,1,aeroplane
2008_004433,1,aeroplane
2008_004532,1,aeroplane
2008_004630,1,aeroplane
2008_004631,1,aeroplane
2008_004648,1,aeroplane
2008_004704,1,aeroplane
2008_004726,1,aeroplane
2008_004739,1,aeroplane
2008_004771,1,aeroplane
2008_004802,1,aeroplane
2008_004819,1,aeroplane
2008_004847,1,aeroplane
2008_004885,1,aeroplane
2008_004935,1,aeroplane
2008_004981,1,aeroplane
2008_005036,1,aeroplane
2008_005057,1,aeroplane
2008_005114,1,aeroplane
2008_005250,1,aeroplane
2008_005310,1,aeroplane
2008_005362,1,aeroplane
2008_005373,1,aeroplane
2008_005443,1,aeroplane
2008_005455,1,aeroplane
2008_005491,1,aeroplane
2008_005538,1,aeroplane
2008_005573,1,aeroplane
2008_005611,1,aeroplane
2008_005631,1,aeroplane
2008_005634,1,aeroplane
2008_005685,1,aeroplane
2008_005719,1,aeroplane
2008_005750,1,aeroplane
2008_005834,1,aeroplane
2008_005873,1,aeroplane
2008_005905,1,aeroplane
2008_005916,1,aeroplane
2008_006034,1,aeroplane
2008_006085,1,aeroplane
2008_006109,1,aeroplane
2008_006140,1,aeroplane
2008_006169,1,aeroplane
2008_006200,1,aeroplane
2008_006213,1,aeroplane
2008_006249,1,aeroplane
2008_006269,1,aeroplane
2008_006353,1,aeroplane
2008_006364,1,aeroplane
2008_006394,1,aeroplane
2008_006401,1,aeroplane
2008_006463,1,aeroplane
2008_006540,1,aeroplane
2008_006548,1,aeroplane
2008_006564,1,aeroplane
2008_006604,1,aeroplane
2008_006619,1,aeroplane
2008_006621,1,aeroplane
2008_006623,1,aeroplane
